school	major	degree	season	decision	gpa	status	GRE_AW	GRE_V	GRE_Quant
University Of Texas At Austin	Cell And Molecular Biology	PhD	Fall 2022	Interview	3.0	International			
Synthetic, And Physical Biology (SSPB), Rice University	Systems	PhD	Fall 2022	Accepted		International			
Oregon Health & Science University (OHSU)	Program In Biomedical Sciences	PhD	Fall 2022	Rejected	4.0	American			
University Of Cambridge	Economics	Masters	Fall 2021	Rejected		International	5.0	169.0	170.0
University Of Michigan (Ann Arbor)	Chemistry	PhD	Fall 2022	Accepted	3.96	International	3.5	160.0	170.0
University Of Southern Mississippi	Clinical Psychology	PhD	Fall 2022	Interview		American			
University Of Wisconsin-Madison	Chemistry	PhD	Fall 2022	Accepted	3.96	International	3.5	160.0	170.0
Vanderbilt University	Quantitative And Chemical Biology	PhD	Fall 2022	Interview	3.99	American			
Ohio State University	Mathematics	PhD	Fall 2022	Accepted	3.99	American			
Icahn School Of Medicine At Mount Sinai	Biomedical Sciences	PhD	Fall 2022	Rejected	3.7	American			
Icahn School Of Medicine At Mount Sinai	Biomedical Sciences	PhD	Fall 2022	Interview		American			
Icahn School Of Medicine At Mount Sinai	Biomedical Sciences	PhD	Fall 2022	Interview		American			
Icahn School Of Medicine At Mount Sinai	Neuroscience	PhD	Fall 2022	Interview		American			
Icahn School Of Medicine At Mount Sinai	Biomedical Sciences And Neuroscience	PhD	Fall 2022	Interview	3.63	American			
University Of Florida	Management	PhD	Fall 2022	Interview		International			
Penn State University	Microbiology	PhD	Spring 2021	Interview	3.3	American			
University Of Pittsburgh	Microbiology	PhD	Fall 2022	Interview	3.3	American			
Oregon Health & Science University (OHSU)	Program In Biomedical Sciences (PBMS)	PhD	Fall 2022	Rejected	3.0	American			
Emory University	Immunology	PhD	Fall 2022	Interview	3.3	American			
Rutgers University	Biomedical Sciences	PhD	Fall 2022	Interview	3.3	American			
University Of Toronto	Information Science	PhD	Fall 2022	Accepted	3.5	International			
Ohio State University	Epidemiology	PhD	Fall 2022	Rejected		International			
Teacher	Psychology In Education: General Psychology	Masters	Fall 2022	Accepted		International			
University Of Connecticut	Marketing	PhD	Fall 2022	Rejected		International			
University Of Florida	Epidemiology	PhD	Fall 2022	Rejected		International			
University Of Toronto	Child Studies	Other	Fall 2022	Rejected		Other			
University Of California, San Diego	Epidemiology	PhD	Fall 2022	Rejected		International			
University Of Oklahoma	Philosophy	PhD	Fall 2022	Accepted		American			
Georgia Institute Of Technology	Computer Science	Masters	Fall 2022	Rejected		International			
Georgia Institute Of Technology	Computer Science	Masters	Fall 2022	Rejected	3.7	International	4.5	162.0	161.0
University Of Florida	Physics	PhD	Fall 2022	Accepted	3.66	International			
Texas A&M University - College Station (TAMU)	Computer Science	Masters	Fall 2022	Rejected	3.21	International	4.5	163.0	170.0
Georgia Institute Of Technology	Computer Science	Masters	Fall 2022	Rejected		International			
Stockholm School Of Economics (SSE)	Economics	Masters	Fall 2022	Accepted		International			
Duke University	Electrical And Computer Engineering	PhD	Fall 2022	Rejected	3.23	International			166.0
Nova Southeastern University	Clinical Psychology	PhD	Fall 2022	Accepted		American			
Georgia State University & University Of New Hampshire	Economics	PhD	Fall 2022	Wait listed		International			
DeSales University	Speech Language Pathology	Masters	Spring 2022	Accepted	3.3	American			
University Of Toronto	Architecture - Advanced Standing	Masters	Fall 2022	Rejected	4.0	International			
University Of Toronto	Counselling And Clinical Psychology OISE	Other	Fall 2022	Rejected		Other			
Pacific University	Audiology	Other	Fall 2022	Accepted		International			
Stockholm School Of Economics (SSE)	Economics	PhD	Fall 2022	Wait listed		International			
Stockholm School Of Economics (SSE)	Economics	PhD	Fall 2022	Accepted		International			
Stock	Economics	Masters	Fall 2022	Accepted		International			
Columbia University	Applied Mathematics	Masters	Fall 2022	Accepted	3.9	American			
Columbia University	Economics	PhD	Fall 2022	Wait listed		International			
Case Western Reserve University	Social Welfare	PhD	Fall 2022	Wait listed	3.7	International			
University Of California, Los Angeles	Computer Science	PhD	Fall 2022	Rejected	3.88	International			
Central European University (CEU)	History	Masters	Fall 2022	Accepted	3.9	American			
Indiana University Bloomington	Creative Writing Fiction	MFA	Fall 2022	Rejected		American			
University Of California, Los Angeles	Computer Science	PhD	Fall 2022	Rejected	3.89	International			
Washington State University	Political Science	PhD	Fall 2022	Wait listed		International			
McGill University	Architecture	Masters	Fall 2022	Wait listed		American			
San Francisco State University	Computer Science	Masters	Fall 2022	Accepted	3.67	International	4.0	159.0	159.0
Nottingham	Eco	PhD	Fall 2022	Accepted		International	3.5	160.0	168.0
University Of Southern California	Linguistics	Other	Fall 2022	Wait listed		Other			
University Of Oxford	Economics	PhD	Fall 2022	Rejected		International			
SUNY Stony Brook	Computer Science	Masters	Fall 2022	Rejected	3.74	International			170.0
University Of Southern California	East Asian Studies	Masters	Fall 2022	Accepted	3.62	International	4.0	159.0	169.0
University Of California, San Diego	Structural Engineering	PhD	Fall 2022	Wait listed		International			
University Of British Columbia	Compu	Masters	Fall 2022	Rejected	3.7	International	4.5	155.0	169.0
University Of Waterloo	Architecture	Other	Fall 2022	Accepted		Other			
Columbia University	English And Comparative Literature	Masters	Fall 2021	Accepted	3.6	American			
University Of British Columbia	Computer Science	Masters	Fall 2022	Rejected	3.79	International			
University Of British Columbia	Computer Science	PhD	Fall 2022	Rejected	3.72	American	5.5	167.0	165.0
NC State University (NCSU)	Electrical And Computer Engineering	PhD	Fall 2022	Accepted	3.52	International	5.0	163.0	168.0
Penn State University	Electrical Engineering	PhD	Fall 2022	Accepted	3.52	International	5.0	163.0	168.0
University Of Texas At Arlington	Computer Engineering	PhD	Fall 2022	Accepted	3.52	International	5.0	163.0	168.0
University Of Texas At Arlington	Computer Engineering	PhD	Fall 2022	Accepted	3.52	International	5.0	163.0	168.0
Missouri University Of Science & Technology	Computer Engineering	PhD	Fall 2022	Rejected	3.52	International	5.0	163.0	168.0
University Of Illinois	Physics	PhD	Fall 2022	Rejected	3.52	International	5.0	163.0	168.0
University Of Virginia	Physics	PhD	Fall 2022	Rejected	3.52	International	5.0	163.0	168.0
Stanford University	Civil And Environmental Engineering SDC	Masters	Fall 2022	Wait listed		International			
University Of Colorado, Boulder	Computer Science	Masters	Fall 2022	Rejected	2.9	American			
Montclair State University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.8	American	3.5	148.0	142.0
Columbia University	Civil And Environmental Engineering	Masters	Fall 2022	Accepted	3.6	American		168.0	169.0
University Of California, Davis	Teaching Credential	Masters	Fall 2022	Rejected	3.97	American			
Nanyang Technological University	Artificial Intelligence	Masters	Fall 2022	Accepted	3.6	International	4.0	165.0	165.0
University Of Illinois, Chicago (UIC)	Civil Engineering	Masters	Fall 2022	Accepted	3.1	International			
University Of Southern California	Applied Economics	PhD	Fall 2022	Accepted		American			
University Of Toronto	Student Development And Student Services In Higher Education (OISE)	Other	Fall 2022	Accepted	3.83	Other			
University Of California, Santa Barbara	Mathematics	PhD	Fall 2022	Accepted	3.69	American			
University Of California, Davis	Mechcanical And Aerospace Engineering	Masters	Fall 2022	Accepted	3.0	American			
McGill University	Economics	Masters	Fall 2022	Rejected	3.5	International	4.5	165.0	169.0
Case Western Reserve University	Planetary Science	Masters	Fall 2022	Rejected		American			
Simon Fraser University	Computer Science	Masters	Fall 2022	Rejected	3.44	International			
Carleton University	International Affairs	PhD	Fall 2022	Rejected	3.7	International			
New York University	Computer Science	Masters	Fall 2022	Rejected		International			
McGill University	Economics	Other	Fall 2022	Rejected		Other			
Arizona State University	Astrophysics	PhD	Fall 2022	Rejected		American			
Virginia Tech	Civil And Environmental Engineering	PhD	Fall 2022	Rejected		International			
McMaster University	Computing And Software	Masters	Fall 2022	Wait listed	3.68	International			
Columbia University	English Literature	Masters	Fall 2022	Accepted		American			
University Of British Columbia	Civil Engineering	Masters	Fall 2022	Accepted	3.74	International			
University Of Maryland	Industrial Organizational Psychology	Masters	Fall 2022	Interview	3.57	American			
University Of Maryland	Industrial Organizational Psychology	Masters	Fall 2022	Interview	3.57	American			
University Of Alabama	Chemistry	PhD	Fall 2022	Rejected		International			
Castle College	Damianlb	JD	Spring 2022	Rejected		International			
Tilburg University	Economics	Masters	Spring 2022	Accepted	3.43	International			161.0
University Of Western Ontario	Computer Science	Masters	Fall 2022	Rejected	3.71	International	3.5	149.0	154.0
University Of California, Berkeley	Philosophy	PhD	Fall 2022	Rejected	4.0	International	4.5	165.0	170.0
Columbia University	Dept. Of Population And Family Health	Masters	Fall 2022	Accepted		American			
University Of Kansas	Philosophy	PhD	Fall 2022	Accepted	4.0	International	4.5	165.0	170.0
Missouri State University	Audiology	Other	Fall 2022	Interview	3.83	Other	3.5	147.0	141.0
University Of California, San Diego	Physics	PhD	Fall 2022	Wait listed		International			
University Of California, Berkeley	Philosophy	PhD	Fall 2022	Rejected	4.0	International			
The Wharton School	OID	PhD	Fall 2022	Accepted		American			
University Of Georgia	Political Science	PhD	Fall 2022	Wait listed	3.9	International			166.0
University Of Montana	History	Masters	Fall 2022	Accepted	3.7	American			
Johns Hopkins Bloomberg School Of Public Health	Mental Health	PhD	Fall 2022	Accepted		American			
University Of Cambridge	Theoretical And Applied Linguistics	Masters	Fall 2022	Rejected	3.8	International			
Worcester Polytechnic Institute	Robotics Engineering	Masters	Fall 2022	Rejected	2.6	International	4.0	151.0	163.0
Virginia Tech	Civil Engineering	Masters	Fall 2022	Accepted	3.4	International	4.5	161.0	161.0
University Of Wisconsin-Madison	Mathematics	PhD	Fall 2022	Wait listed	3.69	American			164.0
Harvard University	Education	PhD	Fall 2022	Rejected		International			
Yale University	Astronomy	PhD	Fall 2022	Accepted		International			
University Of California, Berkeley	Philosophy	PhD	Fall 2022	Rejected		International			
University Of California, Berkeley	Philosophy	PhD	Fall 2022	Rejected		International			
University Of California, Berkeley	Philosophy	PhD	Fall 2022	Rejected		American			
University Of California, Berkeley	Philosophy	PhD	Fall 2022	Rejected		International			
University Of California, Berkeley	Philosophy	PhD	Fall 2022	Rejected		American			
Stanford University	Management Science And Engineering	Other	Fall 2022	Wait listed		Other			
Urbana Champaign	Mathematics	PhD	Fall 2022	Rejected		International			
University Of California, Berkeley	Philosophy	PhD	Fall 2022	Rejected		International			
University Of Illinois, Urbana-Champaign (UIUC)	Clinical-Community Psychology	PhD	Fall 2022	Rejected		International			
University Of Maryland	Second Language Acquisition	PhD	Fall 2022	Accepted		American			
Massachusetts Institute Of Technology	Social And Engineering Systems	Other	Fall 2022	Interview		Other			
New York University	Institute For The Study Of The Ancient World (ISAW)	PhD	Fall 2022	Interview		International			
Berkeley	MS Architecture	Masters	Fall 2022	Interview		American			
University Of Wisconsin-Madison	Computer Science	Masters	Fall 2022	Rejected	3.9	International	4.5	160.0	164.0
Arizona State University	Software Engineering	Masters	Fall 2022	Accepted	3.9	International	4.5	160.0	164.0
University Of California, Santa Cruz	Physics	PhD	Fall 2022	Accepted	3.93	American			
The Wharton School	OID	PhD	Fall 2022	Wait listed		International			
Harvard University	Economics	PhD	Fall 2022	Rejected	4.0	International			170.0
Texas A&M University - College Station (TAMU)	History	PhD	Fall 2022	Accepted	3.93	American			
University Of Texas At Austin	Urban And Regional Planning	Masters	Spring 2022	Accepted		American			
Harvard University	Education - Human Development	PhD	Fall 2022	Rejected	3.9	American			
Michigan State University	Astrophysics	PhD	Fall 2022	Rejected	3.91	American			
University Of Washington	Astronomy	PhD	Fall 2022	Rejected	3.91	American			
University Of Pennsylvania	Art History	PhD	Fall 2022	Interview		International			
University Of Utah	Management	PhD	Spring 2022	Wait listed	3.72	American	5.5	167.0	157.0
University Of Illinois	Statistics	PhD	Fall 2022	Interview		International			
University Of Chicago	Philosophy	PhD	Fall 2022	Accepted		International			
University Of Oregon	Creative Writing Poetry	MFA	Fall 2022	Accepted	4.0	American			
Purdue University - West Lafayette	Materials Science And Engineering	PhD	Fall 2022	Interview		International			
University Of California, Berkeley	Statistics	PhD	Fall 2022	Rejected		American			
Johns Hopkins University	Philosophy	PhD	Fall 2022	Wait listed		International			
North Carolina State University	Statistics	PhD	Fall 2022	Rejected		American			
University Of Massachusetts, Amherst	Linguistics	PhD	Fall 2022	Interview	3.98	International			
Boston University	Earth And Environment	PhD	Fall 2022	Accepted	3.7	International			
Massachusetts Institute Of Technology	Biological Engineering	PhD	Fall 2022	Rejected		International			
University Of Chicago	Art History	PhD	Fall 2021	Rejected	4.15	International			
Virginia Tech	Computer Science	PhD	Fall 2022	Accepted		International			
Emory University	Anthropology	PhD	Fall 2022	Rejected		American			
University Of California, Berkeley	Philosophy	PhD	Fall 2022	Wait listed		International			
University Of Michigan (Ann Arbor)	T&O	PhD	Fall 2022	Rejected		International			
Vanderbilt University - Peabody College	Human Development Counseling	Masters	Fall 2022	Accepted	3.63	American			
Carnegie Mellon University	Dramatic Writing	MFA	Fall 2022	Rejected		American			
Carnegie Mellon University	Dramatic Writing	MFA	Fall 2022	Rejected		American			
Purdue University	Electrical And Computer Engineering	PhD	Fall 2022	Interview	3.76	American			
University Of Pennsylvania	Anthropology	Other	Fall 2022	Interview		Other			
University Of Rochester	Biomedical Engineering	PhD	Fall 2022	Wait listed		International			
University Of Cambridge	Economics	PhD	Fall 2022	Accepted		International			
Rice University	Computer Science	PhD	Fall 2022	Accepted	3.36	International			
University Of Iowa	Audiology	Other	Fall 2022	Interview	4.0	American			
Virginia Tech	Computer Science	PhD	Fall 2022	Accepted	3.69	International			
Central Michigan University	Audiology	Other	Fall 2022	Interview	3.98	American			
University Of Central Florida	Integrative And Conservation Biology	PhD	Fall 2022	Accepted	3.55	American			
Vanderbilt University	IGP	PhD	Spring 2022	Accepted	3.7	American			
Harvard University	Musicology	PhD	Fall 2022	Accepted		American			
Stanford University	Classics	PhD	Fall 2022	Rejected	3.95	American			
University Of Maryland	Information Studies	PhD	Fall 2022	Rejected	3.96	International			
Vanderbilt University	IGP	PhD	Fall 2022	Interview	3.97	American			
Virginia Tech	Computer Science	PhD	Fall 2022	Accepted	3.77	International			
University Of Southern California	Urban Education Policy	PhD	Fall 2022	Rejected	3.68	American			
University Of Washington	Computer Science	PhD	Fall 2022	Rejected	3.94	International			
University Of Colorado, Boulder	Education	PhD	Fall 2022	Rejected	4.0	American	5.0	163.0	154.0
University Of California, Los Angeles	American Studies	Masters	Fall 2022	Accepted	3.55	American			
Rush University	Audiology	Other	Fall 2022	Accepted	3.89	American	4.5	157.0	162.0
University Of Maryland	Philosophy	PhD	Fall 2022	Accepted		American	99.99	6.0	169.0
The Chicago School Of Professional Psychology - Anaheim	Clinical Psychology		Fall 2022	Accepted		American			
Johns Hopkins	Physics And Astronomy	PhD	Fall 2022	Rejected		American			
School Of Visual Arts (SVA)	Interaction Design (IxD)	Masters	Fall 2022	Interview	3.8	International			
University Of Michigan (Ann Arbor)	Urban And Regional Planning	Masters	Fall 2022	Accepted		American			
MIT Media Lab	Media Arts And Sciences	Masters	Fall 2022	Rejected	3.8	International			
Roosevelt University	Clinical Psychology		Fall 2022	Accepted	3.2	American			
Cornell University	History	PhD	Fall 2022	Rejected		International			
University Of Michigan (Ann Arbor)	Mechanical Engineering	PhD	Fall 2022	Accepted	3.88	International			
George Washington University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.85	American			
University Of California, Berkeley	City Planning	Masters	Fall 2022	Accepted		American			
San Diego State University	Geography	Masters	Fall 2022	Accepted	3.63	American			
University Of Minnesota	Aerospace Engineering	PhD	Fall 2022	Rejected	3.22	International	5.0	164.0	170.0
University Of California, Los Angeles	Geography	PhD	Fall 2022	Accepted		American			
University Of North Texas	Speech Language Pathology	Masters	Fall 2022	Accepted	3.68	American	4.0	149.0	156.0
SDSU	Geography	Masters	Fall 2022	Accepted	3.5	International			
School Of Visual Arts	Interaction Design	MFA	Fall 2022	Interview	3.7	International			
Johns Hopkins University	Physics And Astronomy	PhD	Fall 2022	Rejected	3.94	International			
Duke University	Environmental Management	Masters	Fall 2022	Accepted	3.83	International			
Florida Institute Of Technology	Clinical Psychology		Fall 2022	Interview		American			
Massachusetts Institute Of Technology	City Planning	Masters	Fall 2022	Accepted	3.81	American			
Johns Hopkins University	Physics	PhD	Fall 2022	Rejected	3.93	American			
Southern Illinois University, Carbondale	Clinical Psychology	PhD	Fall 2022	Accepted		American			
Cornell University	Architecture	Masters	Fall 2022	Accepted	3.8	International			
University Of California, Davis	Physics	PhD	Fall 2022	Rejected		International			
University Of California, Davis	Applied Mathematics	Masters	Fall 2022	Rejected	3.68	American			
Harvard University	Architecture	Masters	Fall 2022	Accepted	3.8	International			
Johns Hopkins University	Physics And Astronomy	PhD	Fall 2022	Rejected	3.85	American			
School Of The Art Institute Of Chicago (SAIC)	Designed Objects	MFA	Fall 2022	Interview	3.39	American			
Harvard University	Landscape Architecture	Masters	Fall 2022	Rejected		American			
Duke University	Environmental Management	Masters	Fall 2022	Accepted	3.76	International			
Rhode Island School Of Design (RISD)	Industrial Design	Masters	Fall 2022	Wait listed	3.39	American			
Purdue University - West Lafayette	Civil Engineering	PhD	Fall 2022	Accepted	3.76	International			
Texas Christian University (TCU)	Speech Language Pathology	Masters	Fall 2022	Accepted	3.97	American			
SUNY Buffalo	Economics	PhD	Fall 2022	Accepted	3.8	International			169.0
Brown University	Computer Science	PhD	Fall 2022	Accepted	3.9	International			170.0
University Of Pennsylvania	Political Science	PhD	Fall 2022	Accepted	3.75	International	4.5	159.0	169.0
University Of Toronto	Psychology	PhD	Fall 2022	Rejected	3.78	International			
Penn	Poli	PhD	Fall 2022	Accepted	3.75	International	4.5	159.0	169.0
Yale University	Psychology	PhD	Fall 2022	Rejected		International			
NYU Wagner	Urban Planning	Masters	Fall 2022	Accepted	3.45	International			
Georgia State University	Clinical Psychology	PhD	Fall 2022	Rejected		American			
Georgia State University	Clinical Psychology	PhD	Fall 2022	Rejected		American			
Georgia State University	Clinical Psychology	PhD	Fall 2022	Rejected		American			
University Of California, Santa Barbara	History	PhD	Fall 2022	Accepted	4.0	American			
Georgia State University	Clinical Psychology	PhD	Fall 2022	Rejected		American			
Indiana University	Genetic Counseling	Masters	Fall 2022	Interview		American			
Simon Fraser University	Organizational Behavior	PhD	Fall 2022	Accepted		International			
University Of Massachusetts, Amherst	Sociology	PhD	Fall 2022	Accepted		International			
Wilfrid Laurier University	Global Governance	Other	Fall 2022	Accepted		Other			
University Of Wisconsin-Milwaukee	Clinical Psychology	PhD	Fall 2022	Accepted		American			
University Of Illinois	Linguistics	PhD	Fall 2022	Accepted		International			
Northeastern University	Chemical Engineering	PhD	Fall 2022	Accepted	3.96	International			
Columbia University	Chemical Engineering	PhD	Fall 2022	Accepted	3.96	International			
Vanderbilt University	English	PhD	Fall 2022	Interview		American			
Vanderbilt University	Neuroscience	PhD	Fall 2022	Wait listed		American			
University Of Illinois	Psychology	PhD	Fall 2022	Rejected	3.85	International			
University Of Pennsylvania	Neuroscience	PhD	Fall 2022	Rejected		American			
Yale University	Neuroscience	PhD	Fall 2022	Rejected		American			
Midwestern University - Downers Grove	Speech Language Pathology	Masters	Fall 2022	Interview	3.5	American			
University Of Pittsburgh	Creative Writing	MFA	Fall 2022	Interview		American			
University Of Toronto	Philosophy	PhD	Fall 2022	Rejected		American	99.99	6.0	169.0
University Of Florida	Anthropology	PhD	Fall 2022	Accepted		American			
University Of Southern California	Media Arts And Practice	PhD	Fall 2022	Interview		International			
University Of California, Los Angeles	Cinema And Media Studies	PhD	Fall 2022	Interview		International			
University Of Chicago	Behavioral Science	PhD	Fall 2022	Interview		American			
Emory University	Immunology	PhD	Fall 2022	Accepted	3.7	American			
Columbia University	Management	PhD	Fall 2022	Interview		American			
Boston University	Biology	PhD	Fall 2022	Accepted	3.2	International	3.5	150.0	160.0
University Of Texas At Arlington	Biology	PhD	Spring 2021	Accepted		American			
University Of Florida	Biological Anthropology	PhD	Fall 2022	Accepted	3.9	American			
University Of Texas At Austin	English	PhD	Fall 2022	Accepted	3.86	International			
University Of Virginia	Speech Language Pathology	Masters	Fall 2022	Accepted	3.78	American	3.5	150.0	149.0
Brown University	English	PhD	Fall 2022	Accepted	3.86	International			
Brown University	Chemistry	PhD	Fall 2022	Rejected	3.8	International			
University Of California, San Diego	Marketing	PhD	Fall 2022	Wait listed		International			
Rice University	Computer Science	Masters	Fall 2022	Accepted		International			168.0
University Of Southern California	Marketing (CB)	PhD	Fall 2022	Wait listed		International			
Clemson University	Economics	PhD	Fall 2022	Accepted	3.7	International			
University Of Texas At Austin	Mathematics	PhD	Fall 2022	Accepted		American			
New York University	Anthropology	PhD	Fall 2022	Accepted		American		164.0	164.0
University Of Utah	Mathematics	PhD	Fall 2022	Wait listed		International			
Columbia University	Mathematics	PhD	Fall 2022	Rejected		International			
University Of Chicago Divinity School	Religion	Masters	Fall 2022	Accepted	3.84	International		158.0	163.0
University Of Washington	Computer Science	PhD	Fall 2022	Rejected	3.74	International			
University Of Virginia	Computer Engineering	Masters	Fall 2022	Rejected	3.55	International			
University Of Cincinnati	Marketing	PhD	Fall 2022	Accepted		International			
University Of Southern California	Marketing	PhD	Fall 2022	Rejected		International			
University Of California, Los Angeles	Human Development	Masters	Fall 2022	Rejected	3.45	International			
Harvard University	Health Data Science	Masters	Fall 2022	Accepted	3.77	International	4.0	168.0	169.0
University Of Michigan (Ann Arbor)	Industrial And Operations Engineering	PhD	Fall 2022	Wait listed		International			
Georgetown University	Master Of Science In Data Science For Public Policy	Masters	Fall 2022	Accepted		International			
Brown University	Italian Studies	PhD	Fall 2022	Rejected	3.6	International			
University Of Maryland	Human Computer Interaction	Masters	Fall 2022	Rejected	3.7	International	4.5	165.0	164.0
University Of California, Davis	Cultural Studies	PhD	Fall 2022	Rejected		American			
University Of Chicago	MAPSS	PhD	Fall 2022	Accepted		International			
University Of California, Los Angeles	Mathematics	PhD	Fall 2022	Rejected		International			
University Of Washington	Library And Information Science	Masters	Fall 2022	Accepted	3.0	American			
University Of Maryland	Human Computer Interaction	Masters	Fall 2022	Rejected	3.58	International			
University Of Toronto	Master Of Information	Masters	Fall 2022	Accepted	3.8	International			
University Of Washington	Electrical And Computer Engineering	Masters	Fall 2022	Rejected	8.3	International			
ETH Zurich - Swiss Federal Institute Of Technology	Biology MSc	Masters	Fall 2022	Accepted		International	4.0	167.0	160.0
University Of Washington	Electrical And Computer Engineering	Masters	Fall 2022	Rejected		International			
Boston University	Emerging Media Studies	Masters	Fall 2022	Accepted	3.7	International			
Marquette University	Computer Science	PhD	Fall 2022	Accepted	3.7	International	3.5	152.0	168.0
Rice University	Electrical And Computer Engineering	PhD	Fall 2022	Interview	3.7	International	3.5	152.0	168.0
Ryerson University	Spatial Analysis	Other	Fall 2022	Accepted		Other			
Columbia University	Management Science And Engineering	Masters	Fall 2022	Accepted	3.8	American			
Stanford University	Management Science And Engineering	Masters	Fall 2022	Rejected	3.8	American			
University Of Montana	Creative Writing Nonfiction	MFA	Fall 2022	Rejected	4.0	American			
University Of California, Los Angeles	Mathematics	PhD	Fall 2022	Rejected		International			
University Of California, Los Angeles	Mathematics	PhD	Fall 2022	Rejected		International			
University Of California, Los Angeles	Mathematics	PhD	Fall 2022	Rejected	3.99	International	4.5	163.0	170.0
Boston University	Economics	PhD	Fall 2022	Accepted		International			
Stanford University	East Asian Studies	Masters	Fall 2022	Accepted	3.78	International	4.0		170.0
UC Davis	Food Science	PhD	Fall 2022	Rejected	3.95	International			
University Of California, Berkeley	School Psychology	PhD	Fall 2022	Rejected		American			
Case	Epidemiology And Biostatistics	PhD	Fall 2022	Rejected		International			
Cornell University	Mathematics	PhD	Fall 2022	Rejected		International			
UIUC	Computer Science	Masters	Fall 2022	Accepted	3.45	International	5.0	165.0	170.0
University Of California, San Diego	Cognitive Science	PhD	Fall 2022	Accepted		International			
Central Michigan University	Speech Language Pathology	Masters	Fall 2022	Accepted		American			
Indiana University Bloomington	Economics	PhD	Fall 2022	Accepted	3.71	International			169.0
Saint Louis University	Philosophy	PhD	Fall 2022	Wait listed		American			
University Of California, Irvine	Economics	PhD	Fall 2022	Accepted		International			
Rutgers Universityâ€“Newark	Speech Language Pathology	Masters	Fall 2022	Accepted		American			
University Of Minnesota	Mathematics	Other	Fall 2022	Wait listed		Other			
University Of Texas At Austin	Social Work	Masters	Fall 2022	Accepted		International			
University Of Kansas	Philosophy	PhD	Fall 2022	Accepted		American			
MEd, University Of Toronto	Counselling And Psychotherapy	Other	Fall 2022	Rejected	3.7	Other			
University Of Maryland	Political Science	PhD	Fall 2022	Rejected		International			
Univerisity Of Toronto	Medical Biophysics	PhD	Fall 2022	Wait listed		International			
University Of Toronto	Counseling Psychology	Other	Fall 2022	Rejected		Other			
Duke University	Philosophy	PhD	Fall 2022	Rejected		International			
University Of Toronto	Counseling Psychology	Masters	Fall 2022	Rejected		International			
University Of Toronto	Counseling Psychology	Masters	Fall 2022	Rejected		American			
University Of Minnesota	Computer Science	PhD	Fall 2022	Rejected		International			
University Of Toronto	Counselling Psychology	Other	Fall 2022	Rejected	3.94	Other			
OISE, University Of Toronto	Counseling Psychology	Masters	Fall 2022	Rejected		International			
University Of Wisconsin-Madison	Electrical And Computer Engineering	PhD	Fall 2022	Rejected		International			
University Of California, Los Angeles	Philosophy	PhD	Fall 2022	Wait listed		American			
University Of Toronto	Counseling Psychology	Other	Fall 2022	Rejected	3.7	Other			
University Of Texas At Austin	Astronomy	PhD	Fall 2022	Accepted	3.52	International			
University Of British Columbia	Electrical And Computer Engineering	Masters	Fall 2022	Rejected	3.57	International	4.0	159.0	165.0
PSE	Economics	PhD	Fall 2022	Interview		International			
Central European University (CEU)	Sociology And Social Anthropology	PhD	Fall 2022	Wait listed		International			
University Of Massachusetts, Amherst	Developmental Psychology	PhD	Fall 2022	Rejected		American			
Rutgers Universityâ€“New Brunswick	Comparative Literature	PhD	Fall 2022	Rejected		International			
CUNY Graduate Center	Anthropology	PhD	Fall 2022	Rejected		American			
Economics And Governance For Development (IEGD), The United Nations University - Maastricht Economic And Social Research Institute	Innovation	PhD	Fall 2022	Rejected	3.9	International			
London School Of Economics & Political Science (LSE)	Economics And Management	PhD	Fall 2022	Interview		International			
London School Of Economics & Political Science (LSE)	Economics	PhD	Fall 2022	Rejected		International			
University Of Toronto	Counselling Psychology And Psychotherapy	Other	Fall 2022	Wait listed		Other			
University Of Texas At Austin	English	PhD	Fall 2022	Accepted		American			
University Of Virginia	Economics	PhD	Fall 2022	Accepted	3.97	American	5.0	166.0	170.0
Central Washington University	School Psychology	Masters	Fall 2022	Accepted		American			
Brandeis University	English	PhD	Fall 2022	Rejected		American			
Indiana University Bloomington	English	PhD	Fall 2022	Accepted		American			
Cornell University	Electrical And Computer Engineering	PhD	Fall 2022	Rejected		International			
Georgia State University	Early Childhood And Elementary Education	PhD	Fall 2022	Interview	4.0	International			
Michigan State University, Georgia State University	Economics	PhD	Fall 2022	Accepted		American			
Northeastern University	Network Science	PhD	Fall 2022	Accepted		American			
Stanford University	Mathematics	PhD	Fall 2022	Rejected		American			
Stanford	Mathematic	PhD	Fall 2022	Rejected		International			
Stanford University	Mathematics	PhD	Fall 2022	Rejected		American			
University Of Massachusetts, Amherst	Astronomy	PhD	Fall 2022	Wait listed		American			
George Mason University	Cultural Anthropology	Masters	Fall 2022	Accepted	3.7	American			
University Of Texas At Austin	English	PhD	Fall 2022	Rejected	4.0	International			
University Of North Texas	Clinical Psychology	PhD	Fall 2022	Wait listed		American			
University Of Toronto	Information Science	Other	Fall 2022	Wait listed		Other			
University Of Southern California	Communication	PhD	Fall 2022	Interview		Other			
University Of La Verne	Clinical Psychology		Fall 2022	Accepted		American			
Stanford University	Electrical Engineering	PhD	Fall 2022	Rejected	3.92	International	4.0	153.0	170.0
University Of Virginia	Speech Language Pathology	Masters	Fall 2022	Rejected	3.7	American	4.8	143.0	150.0
